term,subject,course_number,crn,title,restrictions
202631,PHEO,650,65802,RISK ASSESSMENT I,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEO,650,65803,RISK ASSESSMENT I,"Must be enrolled in one of the following Programs: MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEO,674,47525,ENV & OCC HLTH RESEARCH METHOD,Cannot be enrolled in one of the following Colleges: Public Health | Must be enrolled in one of the following Levels: Graduate
202631,PHEO,674,65801,ENV & OCC HLTH RESEARCH METHOD,"Must be enrolled in one of the following Programs: MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEO,678,22136,OCCUPATIONAL BIOMECHANICS,Cannot be enrolled in one of the following Colleges: Public Health | Must be enrolled in one of the following Levels: Graduate
202631,PHEO,681,42586,EOH SEMINAR,"Cannot be enrolled in one of the following Colleges: Public Health, Veterinary Med & Biomedical Sc | Must be enrolled in one of the following Levels: Graduate"
202631,PHEO,684,22139,PRACTICUM,"Must be enrolled in one of the following Programs: MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEO,684,22140,PRACTICUM: IN-AB,"Must be enrolled in one of the following Programs: MPH [PH], MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEO,684,57653,PRACTICUM,Must be enrolled in one of the following Programs: DRPH [PH] | Must be enrolled in one of the following Levels: Graduate
202631,PHEO,684,57654,PRACTICUM: IN-AB,Must be enrolled in one of the following Programs: DRPH [PH] | Must be enrolled in one of the following Levels: Graduate
202631,PHIL,111,38741,CONTEMP MORAL ISSUES,"Must be enrolled in one of the following Programs: BA USLA-Society, Ethics & Law, BA PHIL, BA SEAL"
202631,PHIL,111,63256,CONTEMP MORAL ISSUES,Must be enrolled in one of the following Concentrations:
202631,PHIL,251,47130,INTRO TO PHILOSOPHY,Must be enrolled in one of the following Degrees:
202631,PHIL,251,64473,HNR-INTRO TO PHILOSOPHY,Must be assigned one of the following Student Attributes: Eligible for Honors Sections
202631,PHIL,285,58640,DIRECTED STUDIES,Must be enrolled in one of the following Departments: Philosophy
202631,PHIL,285,63579,DIRECTED STUDIES,Must be enrolled in one of the following Departments: Philosophy
202631,PHIL,285,66927,DIRECTED STUDIES,Must be enrolled in one of the following Departments: Philosophy
202631,PHIL,314,19043,ENVIRONMENTAL ETHICS,Must be enrolled in one of the following Levels:
202631,PHIL,314,60824,ENVIRONMENTAL ETHICS,"Must be enrolled in one of the following Programs: BS ENGS, BS ENST [Geosciences], BS ENST [Arts-Sciences] | Must be enrolled in one of the following Levels:"
202631,PHIL,332,45942,SOCIAL & POLITICAL PHILOSOPHY,Must be enrolled in one of the following Levels: | May not be enrolled as the following Classifications:
202631,PHIL,332,64489,SOCIAL & POLITICAL PHILOSOPHY,"Must be enrolled in one of the following Programs: BA USLA-Society, Ethics & Law, BA PHIL, BA SEAL | May not be enrolled in one of the following Degrees:"
202631,PHIL,336,60877,ADV TOPICS PHILOSOPHY OF LAW,"Must be enrolled in one of the following Programs: BA SEAL | Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,376,21662,PHILOSOPHY FILM & EVIL,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,12349,ETHICS & ENGINEERING,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,12351,ETHICS & ENGINEERING,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,12355,ETHICS & ENGINEERING,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,12356,ETHICS & ENGINEERING,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,60807,ETHICS & ENGINEERING,"May not be assigned one of the following Student Attributes: | Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,60808,ETHICS & ENGINEERING,"May not be assigned one of the following Student Attributes: | Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,60809,ETHICS & ENGINEERING,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,60810,ETHICS & ENGINEERING,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,60811,ETHICS & ENGINEERING,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,60812,ETHICS & ENGINEERING,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,482,60813,ETHICS & ENGINEERING,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
